UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure,Failure Type
9794,H39207,H,298.5,309.4,1414,46.7,102,False,No Failure
4879,L52058,L,303.7,312.4,1348,51.0,152,False,No Failure
8001,M22860,M,300.8,312.0,1443,53.3,151,False,No Failure
8285,L55464,L,298.8,310.6,1651,33.3,0,False,No Failure
9510,M24369,M,299.2,310.4,1502,39.8,34,False,No Failure
565,H29978,H,297.6,309.6,1669,32.1,155,False,No Failure
707,M15566,M,297.8,309.0,1434,43.3,96,False,No Failure
1946,L49125,L,298.1,308.1,1616,32.8,65,False,No Failure
3821,L51000,L,302.3,310.8,1421,41.4,102,False,No Failure
5601,L52780,L,302.8,312.1,1487,36.6,84,False,No Failure
6156,L53335,L,301.0,311.0,1634,31.2,182,False,No Failure
99,L47278,L,298.9,308.8,1529,32.7,53,False,No Failure
6781,L53960,L,301.3,310.8,1560,38.5,52,False,No Failure
4678,H34091,H,303.5,311.6,1466,47.0,80,False,No Failure
3214,L50393,L,300.4,309.2,1752,29.0,52,False,No Failure
2824,M17683,M,300.3,309.5,1320,62.2,142,False,No Failure
6057,L53236,L,300.8,310.8,1634,29.2,149,False,No Failure
4936,L52115,L,303.4,312.3,1479,42.8,92,False,No Failure
1924,L49103,L,298.0,307.7,1529,34.1,11,False,No Failure
8328,M23187,M,298.7,309.6,1254,57.1,124,False,No Failure
2161,L49340,L,299.4,309.0,1507,41.0,213,False,No Failure
9493,L56672,L,299.1,309.9,1586,36.6,215,False,No Failure
3107,L50286,L,299.8,309.1,1485,39.9,207,False,No Failure
2897,M17756,M,300.7,309.5,1633,31.3,90,False,No Failure
4807,H34220,H,303.6,312.5,1375,54.0,186,False,No Failure
4864,M19723,M,303.6,312.3,1915,22.3,116,False,No Failure
6994,M21853,M,300.7,311.0,1740,25.6,176,False,No Failure
9748,L56927,L,298.8,310.1,1481,47.4,187,False,No Failure
8726,M23585,M,297.1,308.5,1515,42.1,81,False,No Failure
3125,L50304,L,300.1,309.4,1568,39.7,42,False,No Failure
2354,L49533,L,299.2,308.4,1841,22.8,40,False,No Failure
3926,L51105,L,302.6,311.6,1638,29.6,160,False,No Failure
2327,M17186,M,299.4,308.7,1487,52.6,205,False,No Failure
708,L47887,L,297.7,308.9,1838,27.3,99,False,No Failure
4011,M18870,M,302.1,311.1,1605,37.6,171,False,No Failure
8751,L55930,L,297.3,308.5,1764,30.8,148,False,No Failure
8262,H37675,H,299.2,310.6,1434,48.4,153,False,No Failure
148,L47327,L,298.4,308.4,1515,40.1,179,False,No Failure
1402,H30815,H,298.9,310.2,1532,37.7,166,False,No Failure
3069,H32482,H,300.0,309.0,1622,31.8,103,False,No Failure
1725,M16584,M,298.3,307.8,1457,52.5,98,False,No Failure
8970,L56149,L,297.0,307.8,1396,50.0,96,False,No Failure
9516,L56695,L,299.0,310.2,1682,28.8,49,False,No Failure
9518,L56697,L,298.9,310.1,1523,39.1,53,False,No Failure
273,L47452,L,298.1,308.1,1484,40.4,59,False,No Failure
8982,L56161,L,297.0,307.7,1502,39.4,126,False,No Failure
5394,L52573,L,302.8,312.3,1473,42.6,232,False,No Failure
3611,M18470,M,301.7,310.8,1594,32.4,204,False,No Failure
2206,L49385,L,299.9,309.2,1624,34.6,105,False,No Failure
4485,M19344,M,302.6,310.4,1451,43.1,35,False,No Failure
6296,H35709,H,301.1,310.6,1782,24.9,93,False,No Failure
6330,M21189,M,300.7,310.0,1641,34.6,178,False,No Failure
6553,L53732,L,301.4,310.7,1786,26.1,123,False,No Failure
9776,M24635,M,298.6,309.5,1684,27.8,44,False,No Failure
6433,M21292,M,300.3,309.9,1447,46.5,28,False,No Failure
2117,M16976,M,299.4,309.0,1381,44.9,88,False,No Failure
4356,H33769,H,302.0,309.8,1280,57.3,147,True,Heat Dissipation Failure
3173,M18032,M,300.3,309.6,1488,41.3,172,False,No Failure
1152,L48331,L,297.0,307.9,1350,47.7,168,False,No Failure
8416,M23275,M,298.7,309.9,1434,53.0,144,False,No Failure
8894,L56073,L,297.5,308.7,1371,46.5,121,False,No Failure
8114,L55293,L,300.4,311.7,1459,45.6,3,False,No Failure
5646,M20505,M,302.5,312.0,1591,29.4,192,False,No Failure
3193,M18052,M,300.1,309.2,1418,39.8,221,False,No Failure
2507,M17366,M,299.2,309.1,1503,34.7,6,False,No Failure
3475,M18334,M,301.9,310.8,1557,35.3,65,False,No Failure
8099,L55278,L,300.2,311.6,1500,39.0,174,False,No Failure
6646,M21505,M,301.5,310.4,1486,39.6,144,False,No Failure
7224,L54403,L,299.8,309.6,1374,51.6,137,False,No Failure
5859,L53038,L,301.3,311.0,1348,44.5,78,False,No Failure
7417,M22276,M,300.1,311.2,1452,42.4,190,False,No Failure
6245,M21104,M,301.0,310.4,1665,30.9,177,False,No Failure
2416,M17275,M,299.1,308.5,1587,35.6,2,False,No Failure
6404,L53583,L,300.1,309.6,1649,33.6,168,False,No Failure
5279,M20138,M,303.5,312.9,1618,30.4,130,False,No Failure
2136,L49315,L,299.3,309.0,1511,47.8,148,False,No Failure
6489,L53668,L,300.7,309.8,1330,54.4,171,False,No Failure
4840,H34253,H,303.4,311.9,1402,50.0,54,False,No Failure
1074,L48253,L,297.0,307.8,1414,47.5,168,False,No Failure
2411,L49590,L,299.1,308.5,1689,32.1,192,False,No Failure
5300,L52479,L,303.7,313.1,1355,49.1,188,False,No Failure
7234,L54413,L,299.9,310.0,1447,45.9,162,False,No Failure
7154,L54333,L,300.2,310.0,1493,47.3,172,False,No Failure
2437,H31850,H,299.0,308.2,1662,30.4,55,False,No Failure
3653,M18512,M,302.1,311.5,1341,50.8,99,False,No Failure
741,M15600,M,296.9,308.4,1450,46.9,186,False,No Failure
175,L47354,L,298.2,308.1,1306,58.3,35,False,No Failure
1479,L48658,L,298.3,309.4,1568,35.8,140,False,No Failure
2003,L49182,L,298.5,308.2,1654,27.1,13,False,No Failure
7777,M22636,M,300.3,311.5,1445,47.3,40,False,No Failure
8168,H37581,H,299.7,311.1,1353,47.1,143,False,No Failure
2943,L50122,L,300.7,309.5,1461,49.9,0,False,No Failure
7803,L54982,L,299.9,311.3,1429,58.2,103,False,No Failure
9104,L56283,L,297.3,308.2,1490,41.0,16,False,No Failure
638,L47817,L,298.2,309.7,1585,37.4,118,False,No Failure
864,L48043,L,296.0,306.7,1416,44.2,46,False,No Failure
8663,L55842,L,297.5,308.6,1514,36.9,134,False,No Failure
8859,L56038,L,297.8,308.9,1506,33.5,26,False,No Failure
2799,L49978,L,300.3,309.6,1568,39.6,85,False,No Failure
2004,M16863,M,298.5,308.2,1564,37.5,15,False,No Failure
1746,L48925,L,298.5,308.0,1624,29.8,160,False,No Failure
4888,L52067,L,303.7,312.5,1481,33.3,182,False,No Failure
2977,M17836,M,300.5,309.3,1881,25.5,98,False,No Failure
752,M15611,M,296.8,308.1,1843,24.2,212,False,No Failure
9968,M24827,M,298.3,307.9,1609,32.4,151,False,No Failure
8154,L55333,L,299.6,310.8,1507,42.4,108,False,No Failure
6400,M21259,M,300.1,309.6,1501,38.0,157,False,No Failure
5478,L52657,L,302.7,312.1,1763,26.5,184,False,No Failure
3119,M17978,M,300.2,309.5,1458,46.9,23,False,No Failure
6909,L54088,L,300.9,311.3,1613,32.7,170,False,No Failure
2165,L49344,L,299.6,309.2,1540,36.7,221,False,No Failure
9747,L56926,L,298.8,310.0,1403,45.6,185,False,No Failure
5438,M20297,M,302.9,312.6,1394,46.4,82,False,No Failure
406,L47585,L,297.3,308.5,1350,57.6,186,False,No Failure
6875,H36288,H,300.9,311.3,1295,58.9,77,False,No Failure
6227,H35640,H,301.3,311.0,1341,59.3,134,False,No Failure
4394,M19253,M,302.2,310.1,1572,34.6,17,False,No Failure
4395,L51574,L,302.2,310.0,1483,48.7,20,False,No Failure
5083,H34496,H,304.1,313.2,1590,43.4,52,False,No Failure
1753,L48932,L,298.2,307.6,1492,37.2,178,False,No Failure
8617,L55796,L,297.6,308.6,1355,46.4,13,False,No Failure
2293,L49472,L,299.6,308.9,1422,53.2,120,False,No Failure
7974,L55153,L,301.1,312.3,1682,29.7,83,False,No Failure
9387,M24246,M,297.5,308.0,2033,16.7,128,False,No Failure
2621,L49800,L,299.4,309.2,1556,35.7,75,False,No Failure
2116,L49295,L,299.4,309.0,1404,47.3,86,False,No Failure
7813,L54992,L,300.0,311.5,1666,32.0,128,False,No Failure
4257,M19116,M,302.6,311.0,1591,33.9,119,False,No Failure
1936,M16795,M,298.1,307.9,1377,55.1,42,False,No Failure
8505,L55684,L,298.4,309.7,1419,41.3,159,False,No Failure
5302,L52481,L,303.8,313.1,1309,55.8,193,False,No Failure
4048,L51227,L,301.9,311.0,1455,46.0,29,False,No Failure
5392,L52571,L,302.7,312.2,1572,34.4,228,False,No Failure
3415,L50594,L,301.3,310.3,1555,41.2,131,False,No Failure
9008,L56187,L,297.4,308.0,1383,46.2,188,False,No Failure
9560,L56739,L,299.5,310.9,1496,38.5,162,False,No Failure
5984,H35397,H,300.8,310.8,1466,45.2,188,False,No Failure
9754,L56933,L,298.5,309.8,1593,35.1,203,False,No Failure
6384,H35797,H,300.2,309.7,1483,43.8,108,False,No Failure
4942,M19801,M,303.6,312.7,1699,31.5,105,False,No Failure
2252,H31665,H,299.1,308.3,1424,43.4,16,False,No Failure
1897,L49076,L,297.9,307.5,1574,35.8,153,False,No Failure
1145,L48324,L,297.0,307.9,1296,69.1,153,True,Power Failure
6019,M20878,M,300.8,310.9,1557,31.6,52,False,No Failure
2272,L49451,L,299.2,308.5,1821,26.1,69,False,No Failure
9098,L56277,L,297.3,308.1,1642,36.9,206,False,No Failure
6498,L53677,L,300.8,309.9,1312,65.3,192,True,Overstrain Failure
1153,L48332,L,297.1,307.9,1507,38.3,170,False,No Failure
7067,M21926,M,300.8,310.7,1572,36.2,167,False,No Failure
7857,L55036,L,300.4,311.8,1433,42.2,14,False,No Failure
4198,L51377,L,302.4,311.0,1573,36.5,193,False,No Failure
3683,L50862,L,302.1,311.2,1550,34.8,177,False,No Failure
669,L47848,L,297.5,308.9,1738,24.0,195,False,No Failure
5981,M20840,M,300.6,310.7,1654,32.0,180,False,No Failure
5050,H34463,H,304.0,313.1,1472,45.5,166,False,No Failure
333,M15192,M,297.6,308.3,1538,40.2,0,False,No Failure
3522,L50701,L,301.9,311.0,1541,38.9,193,False,No Failure
3798,L50977,L,302.1,310.8,1622,36.8,45,False,No Failure
4151,L51330,L,301.9,310.4,1610,34.8,71,False,No Failure
465,L47644,L,297.3,308.6,1511,35.7,120,False,No Failure
9707,M24566,M,299.0,310.1,1705,30.1,84,False,No Failure
8289,M23148,M,298.8,310.6,1640,33.8,9,False,No Failure
9452,H38865,H,298.0,308.7,1536,39.6,99,False,No Failure
5732,L52911,L,302.2,311.6,1872,20.4,202,False,No Failure
5693,M20552,M,302.4,311.9,1313,55.7,102,False,No Failure
4638,M19497,M,303.1,311.3,1847,24.7,212,False,No Failure
5632,L52811,L,302.8,312.2,1515,36.8,162,False,No Failure
9193,L56372,L,297.9,309.0,1562,35.8,40,False,No Failure
1028,M15887,M,296.3,307.4,1335,50.5,48,False,No Failure
8124,H37537,H,300.2,311.5,1515,36.8,27,False,No Failure
8165,L55344,L,299.6,310.9,1472,40.9,137,False,No Failure
8568,L55747,L,298.0,308.7,1511,45.8,114,False,No Failure
9724,L56903,L,298.8,309.8,1599,33.6,131,False,No Failure
3626,M18485,M,302.1,311.4,1467,43.4,33,False,No Failure
1499,L48678,L,298.0,308.8,1790,27.2,193,False,No Failure
2693,L49872,L,300.1,309.7,1641,30.4,41,False,No Failure
1555,M16414,M,298.4,308.7,1584,31.7,117,False,No Failure
6033,L53212,L,300.7,310.8,1754,27.7,84,False,No Failure
5309,L52488,L,304.0,313.2,1481,42.6,213,False,No Failure
1010,M15869,M,296.2,307.2,1385,44.0,5,False,No Failure
4867,L52046,L,303.6,312.4,1781,28.7,124,False,No Failure
3621,H33034,H,301.9,311.2,1474,41.8,18,False,No Failure
8976,H38389,H,296.7,307.4,1661,34.2,109,False,No Failure
8933,L56112,L,297.4,308.4,1474,43.6,4,False,No Failure
7249,L54428,L,300.0,310.1,1762,28.0,202,False,No Failure
6343,M21202,M,300.3,309.8,1444,42.0,3,False,No Failure
1987,L49166,L,298.1,307.6,1498,42.9,171,False,No Failure
7452,L54631,L,300.3,311.8,1508,43.1,57,False,No Failure
5873,M20732,M,301.5,311.0,1504,42.6,109,False,No Failure
5982,M20841,M,300.7,310.7,1347,46.5,183,False,No Failure
65,L47244,L,299.0,309.1,1523,38.6,177,False,No Failure
1484,L48663,L,298.0,308.9,1578,35.6,153,False,No Failure
9916,M24775,M,298.5,308.7,1662,28.3,15,False,No Failure
5895,L53074,L,301.2,310.9,1597,37.9,164,False,No Failure
4435,L51614,L,302.4,310.1,1556,32.9,132,False,No Failure
4142,H33555,H,301.7,310.1,1462,38.3,49,False,No Failure
3604,L50783,L,301.7,310.7,1542,40.0,188,False,No Failure
6269,L53448,L,300.9,310.5,1616,33.5,25,False,No Failure
1334,M16193,M,299.0,310.3,1558,35.4,223,False,No Failure
1344,L48523,L,298.5,310.2,1676,32.7,18,False,No Failure
3315,L50494,L,301.4,310.5,1489,43.5,98,False,No Failure
6118,L53297,L,300.8,311.0,1578,44.4,86,False,No Failure
1608,L48787,L,297.8,307.8,1412,48.3,27,False,No Failure
668,L47847,L,297.5,308.9,1459,48.5,193,False,No Failure
5022,L52201,L,304.0,313.0,1350,61.1,88,False,No Failure
9696,L56875,L,298.9,309.9,1592,32.0,60,False,No Failure
1814,L48993,L,298.1,307.7,1479,45.0,136,False,No Failure
8099,L55278,L,300.2,311.6,1500,39.0,174,False,No Failure
5204,M20063,M,303.7,312.6,1671,30.5,163,False,No Failure
9913,L57092,L,298.6,308.9,1327,58.8,9,False,No Failure
5249,M20108,M,303.5,313.0,1902,21.6,60,False,No Failure
4841,L52020,L,303.4,311.9,1298,63.9,59,True,Heat Dissipation Failure
9363,M24222,M,298.0,308.5,1682,33.0,58,False,No Failure
8435,M23294,M,298.7,309.9,1654,29.1,195,False,No Failure
1725,M16584,M,298.3,307.8,1457,52.5,98,False,No Failure
1643,H31056,H,298.0,307.8,1588,35.4,114,False,No Failure
7589,L54768,L,300.4,311.1,2013,20.1,195,False,No Failure
8237,L55416,L,299.2,310.6,1498,41.1,88,False,No Failure
8324,H37737,H,298.7,309.5,1453,40.4,108,False,No Failure
8528,L55707,L,298.4,309.3,1531,37.4,16,False,No Failure
4744,L51923,L,303.3,311.3,1409,51.8,16,False,No Failure
8124,H37537,H,300.2,311.5,1515,36.8,27,False,No Failure
2262,M17121,M,299.1,308.2,1435,45.2,45,False,No Failure
6646,M21505,M,301.5,310.4,1486,39.6,144,False,No Failure
9038,L56217,L,297.3,308.2,1896,24.4,47,False,No Failure
9514,M24373,M,299.0,310.2,1598,33.4,44,False,No Failure
4954,L52133,L,303.7,312.5,1670,26.1,139,False,No Failure
1574,L48753,L,298.2,308.2,1466,42.4,164,False,No Failure
9217,H38630,H,297.7,308.8,1469,43.7,96,False,No Failure
9397,L56576,L,297.8,308.3,1498,47.3,160,False,No Failure
6727,L53906,L,301.5,310.8,1500,41.0,118,False,No Failure
2058,L49237,L,299.5,309.3,1520,42.3,149,False,No Failure
8,L47187,L,298.1,308.6,1527,40.2,16,False,No Failure
8709,M23568,M,297.2,308.5,1364,54.0,43,False,No Failure
8427,L55606,L,299.1,310.5,1628,35.9,174,False,No Failure
8575,L55754,L,297.6,308.3,1424,53.9,132,False,No Failure
2116,L49295,L,299.4,309.0,1404,47.3,86,False,No Failure
9017,L56196,L,297.3,308.2,1396,52.7,212,True,Overstrain Failure
7192,L54371,L,300.3,310.3,1629,34.1,52,False,No Failure
3493,H32906,H,301.9,311.0,1336,63.6,111,False,No Failure
1127,L48306,L,296.8,307.9,1706,30.8,111,False,No Failure
5497,M20356,M,302.9,312.5,1924,24.0,17,False,No Failure
6879,H36292,H,300.9,311.2,1518,35.0,90,False,No Failure
4703,L51882,L,303.6,311.8,1222,66.8,148,True,Heat Dissipation Failure
3912,M18771,M,302.3,311.3,1339,50.8,123,False,No Failure
6471,L53650,L,300.4,309.6,1379,54.5,122,False,No Failure
7839,L55018,L,300.2,311.6,1372,49.2,195,False,No Failure
1703,L48882,L,298.0,307.7,1430,47.3,49,False,No Failure
1994,M16853,M,298.3,308.0,1463,42.5,190,False,No Failure
7267,L54446,L,300.4,310.5,1578,32.8,26,False,No Failure
7472,L54651,L,300.3,311.7,1365,53.3,113,False,No Failure
9529,M24388,M,299.1,310.3,1233,59.0,81,False,No Failure
9599,L56778,L,299.0,310.2,1490,41.1,54,False,No Failure
3539,L50718,L,302.0,311.1,1635,36.0,23,False,No Failure
640,L47819,L,298.0,309.6,1403,51.3,122,False,No Failure
5835,L53014,L,301.3,311.3,1434,49.8,16,False,No Failure
8466,M23325,M,298.7,309.8,1475,40.5,59,False,No Failure
107,L47286,L,298.8,308.7,1445,48.5,70,False,No Failure
2357,H31770,H,299.3,308.6,1498,39.5,47,False,No Failure
6170,L53349,L,300.7,310.5,1448,38.2,218,False,No Failure
9883,L57062,L,298.8,309.8,1895,22.0,134,False,No Failure
5494,L52673,L,302.8,312.4,1376,57.1,8,False,No Failure
3087,L50266,L,300.0,309.2,1610,32.1,150,False,No Failure
8775,M23634,M,297.6,308.7,1408,51.5,4,False,No Failure
637,L47816,L,298.3,309.9,1463,43.9,116,False,No Failure
3045,L50224,L,300.2,309.4,1981,21.4,44,False,No Failure
6824,M21683,M,300.9,310.7,1268,56.3,161,False,No Failure
4713,L51892,L,303.4,311.8,1564,35.9,171,False,No Failure
6842,M21701,M,301.1,311.2,1591,35.0,208,False,No Failure
7354,L54533,L,299.8,310.3,1687,30.4,33,False,No Failure
3571,H32984,H,301.8,310.6,1441,46.3,100,False,No Failure
8187,L55366,L,299.7,311.0,1827,25.4,194,False,No Failure
2418,L49597,L,298.9,308.3,1576,36.6,7,False,No Failure
4321,L51500,L,301.7,310.3,1397,44.6,57,False,No Failure
8792,M23651,M,297.4,308.5,1412,45.5,49,False,No Failure
9773,L56952,L,298.5,309.5,1561,34.8,35,False,No Failure
4070,M18929,M,301.9,310.7,1405,47.9,80,False,No Failure
3988,M18847,M,302.3,311.3,1444,43.1,115,False,No Failure
7017,L54196,L,300.6,310.5,1509,43.1,31,False,No Failure
7529,M22388,M,300.1,311.3,1748,26.6,42,False,No Failure
7600,L54779,L,300.5,311.0,1759,28.3,13,False,No Failure
1013,M15872,M,296.1,307.1,1433,38.5,14,False,No Failure
5341,L52520,L,303.5,312.7,1393,49.3,82,False,No Failure
8055,L55234,L,300.4,311.8,1405,47.9,58,False,No Failure
8909,L56088,L,297.2,308.5,1518,44.3,163,False,No Failure
4002,H33415,H,302.1,311.2,1598,37.9,148,False,No Failure
9498,H38911,H,299.1,309.9,1443,40.3,0,False,No Failure
9068,L56247,L,297.1,308.2,1351,56.6,126,False,No Failure
333,M15192,M,297.6,308.3,1538,40.2,0,False,No Failure
5634,L52813,L,302.7,312.2,1447,47.5,166,False,No Failure
8978,M23837,M,296.9,307.5,1556,31.2,116,False,No Failure
9674,M24533,M,299.0,310.1,1593,35.4,5,False,No Failure
1572,L48751,L,298.3,308.4,1528,37.3,160,False,No Failure
4570,L51749,L,302.8,310.9,1636,35.0,38,False,No Failure
8353,L55532,L,298.6,309.6,1491,36.9,192,False,No Failure
3936,M18795,M,302.6,311.6,1227,68.2,187,True,Overstrain Failure
9454,H38867,H,298.2,309.0,1360,56.8,107,False,No Failure
6282,M21141,M,301.3,310.8,1455,41.2,56,False,No Failure
5433,L52612,L,302.8,312.4,1392,46.2,70,False,No Failure
8367,M23226,M,298.9,309.8,1836,22.8,18,False,No Failure
5097,H34510,H,304.2,313.5,1627,32.2,91,False,No Failure
9437,L56616,L,298.0,308.6,1481,42.5,54,False,No Failure
4288,M19147,M,301.7,309.9,1457,39.2,192,False,No Failure
7238,M22097,M,299.8,310.0,1632,33.7,172,False,No Failure
2365,L49544,L,299.2,308.5,1366,49.7,74,False,No Failure
2181,H31594,H,299.6,309.2,1597,36.3,35,False,No Failure
9549,L56728,L,299.6,311.1,1521,37.2,131,False,No Failure
3312,L50491,L,301.3,310.4,1459,44.7,92,False,No Failure
2368,M17227,M,299.3,308.5,1496,39.4,80,False,No Failure
3478,L50657,L,301.8,310.7,1547,41.7,72,False,No Failure
4568,M19427,M,302.8,310.8,1451,44.7,32,False,No Failure
2299,L49478,L,299.3,308.6,1482,37.6,132,False,No Failure
5216,M20075,M,303.7,312.7,1532,42.7,194,False,No Failure
3507,H32920,H,301.6,310.8,1435,47.2,152,False,No Failure
4701,L51880,L,303.5,311.7,1620,31.0,141,False,No Failure
6146,M21005,M,301.1,311.1,1436,41.8,156,False,No Failure
4816,H34229,H,303.4,311.9,1534,33.2,210,False,No Failure
6574,M21433,M,301.4,310.6,1855,25.3,178,False,No Failure
391,L47570,L,297.6,308.7,1460,46.7,150,False,No Failure
8539,L55718,L,298.5,309.4,1548,37.7,43,False,No Failure
3527,H32940,H,301.8,310.8,1470,37.6,204,False,No Failure
4539,L51718,L,302.4,310.3,1923,23.3,172,False,No Failure
8405,L55584,L,298.4,309.5,1545,36.6,117,False,No Failure
6726,M21585,M,301.5,310.7,1359,47.1,115,False,No Failure
569,L47748,L,297.8,309.7,1935,22.1,171,False,No Failure
272,M15131,M,298.1,308.1,1452,40.8,56,False,No Failure
7860,M22719,M,300.5,311.9,1370,44.8,20,False,No Failure
9909,L57088,L,298.6,309.0,1456,47.7,0,False,No Failure
7522,M22381,M,300.2,311.6,1467,40.7,23,False,No Failure
8950,L56129,L,297.4,308.3,1284,60.3,50,False,No Failure
3520,M18379,M,301.9,310.9,1569,32.5,188,False,No Failure
3441,L50620,L,301.3,310.3,1460,41.5,197,False,No Failure
3209,M18068,M,300.2,309.1,1406,42.2,40,False,No Failure
4755,M19614,M,303.3,311.5,1384,54.8,48,False,No Failure
2698,L49877,L,300.0,309.6,1618,28.7,53,False,No Failure
4837,L52016,L,303.3,311.8,1315,62.0,42,True,Heat Dissipation Failure
6575,L53754,L,301.4,310.6,1578,33.0,181,False,No Failure
6471,L53650,L,300.4,309.6,1379,54.5,122,False,No Failure
244,L47423,L,298.0,308.2,1442,44.1,204,False,No Failure
3776,H33189,H,302.5,311.1,1850,23.3,203,False,No Failure
8490,L55669,L,298.4,309.4,1461,46.3,121,False,No Failure
1684,M16543,M,297.9,307.4,1403,52.8,0,False,No Failure
7467,H36880,H,300.3,311.6,1801,23.6,97,False,No Failure
2266,M17125,M,299.2,308.4,1330,51.2,56,False,No Failure
3675,L50854,L,302.2,311.5,1346,52.4,157,False,No Failure
7745,L54924,L,300.4,311.7,1314,59.5,160,False,No Failure
9782,L56961,L,298.8,309.9,1441,41.6,62,False,No Failure
2526,M17385,M,298.8,308.6,1598,35.1,52,False,No Failure
9934,L57113,L,298.3,308.3,1597,32.4,69,False,No Failure
7269,L54448,L,300.5,310.6,1543,36.2,30,False,No Failure
8877,M23736,M,298.1,309.3,1752,25.2,77,False,No Failure
6270,M21129,M,300.9,310.5,1444,43.2,27,False,No Failure
7975,L55154,L,301.2,312.3,1528,38.4,85,False,No Failure
2290,L49469,L,299.4,308.7,1504,37.8,112,False,No Failure
4985,L52164,L,303.8,313.1,1256,58.7,213,True,Overstrain Failure
5420,L52599,L,302.6,312.3,1321,53.4,42,False,No Failure
3968,M18827,M,302.3,311.4,1479,45.6,59,False,No Failure
9470,L56649,L,298.6,309.4,1698,33.2,147,False,No Failure
6196,L53375,L,300.9,310.8,1729,30.2,53,False,No Failure
7449,L54628,L,300.3,311.8,1488,38.4,51,False,No Failure
8979,L56158,L,296.9,307.6,1435,45.0,119,False,No Failure
4079,H33492,H,302.1,310.7,1294,62.4,101,True,Heat Dissipation Failure
1151,L48330,L,297.1,307.9,1456,50.0,166,False,No Failure
2634,L49813,L,300.1,309.8,1532,39.8,115,False,No Failure
1431,L48610,L,298.9,310.0,1378,49.3,18,False,No Failure
3760,L50939,L,302.3,311.0,1412,47.0,164,False,No Failure
6468,L53647,L,300.4,309.7,1692,27.4,115,False,No Failure
3190,L50369,L,300.1,309.1,1551,33.7,214,False,No Failure
6674,L53853,L,301.6,310.7,1380,51.8,216,True,Overstrain Failure
7322,L54501,L,299.8,310.2,1911,23.5,166,False,No Failure
9477,M24336,M,298.8,309.6,1692,31.9,167,False,No Failure
6777,L53956,L,301.3,310.6,1451,47.5,42,False,No Failure
7771,L54950,L,300.3,311.5,1548,32.2,25,False,No Failure
5010,L52189,L,303.7,312.8,1523,40.7,59,False,No Failure
9956,M24815,M,298.2,307.9,1462,38.8,124,False,No Failure
270,L47449,L,298.0,308.0,1524,37.0,49,False,No Failure
2059,M16918,M,299.5,309.3,1902,24.0,151,False,No Failure
4310,M19169,M,301.3,309.9,1501,39.5,27,False,No Failure
5398,M20257,M,302.8,312.3,1416,42.7,241,False,No Failure
